name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Язык программирования С. Лекции и упражнения,Стивен Прата,https://www.litres.ru/book/s-prata/yazyk-programmirovaniya-s-lekcii-i-uprazhneniya-8910003/,4.16,38,0,957,2200.0,[],0,2005
Spring 5 для профессионалов,Кларенс Хо,https://www.litres.ru/book/klarens-ho/spring-5-dlya-professionalov-48613790/,3.1,10,0,1122,2200.0,[],0,2018
Бизнес-моделирование и анализ данных. Решение актуальных задач с помощью Microsoft Excel,Уэйн Л. Винстон,https://www.litres.ru/book/ueyn-vinston/biznes-modelirovanie-i-analiz-dannyh-reshenie-aktualnyh-zadac-64069201/,3.71,17,0,944,699.0,[],16,2021
Android. Полное руководство по разработке приложений от сообщества Stack Overflow,Коллектив авторов,https://www.litres.ru/book/raznoe-4340152/android-polnoe-rukovodstvo-po-razrabotke-prilozheniy-ot-soo-70447249/,3.0,2,0,642,599.0,[],16,
Выразительный JavaScript. Современное веб-программирование (pdf+epub),Марейн Хавербеке,https://www.litres.ru/book/mareyn-haverbeke/vyrazitelnyy-javascript-sovremennoe-veb-programmirovanie-50447564/,4.14,28,0,480,699.0,[],16,2019
1С:Предприятие 8.3. Практическое пособие разработчика. Используем 1C:EDT (+ 2epub),М. Г. Радченко,https://www.litres.ru/book/e-u-hrustaleva/1s-predpriyatie-8-3-prakticheskoe-posobie-razrabotchika-isp-68938089/,5.0,4,0,55,200.0,[],12,2023
Сверточные нейросети,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/svertochnye-neyroseti-70965715/,5.0,29,0,307509,690.0,[],12,2024
"Фундаментальный подход к программной архитектуре: паттерны, свойства, проверенные методы (pdf+epub)",Нил Форд,https://www.litres.ru/book/mark-richards-326443/fundamentalnyy-podhod-k-programmnoy-arhitekture-patte-69434368/,5.0,5,0,448,799.0,[],16,2020
Нейросети. Генерация изображений,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-generaciya-izobrazheniy-69532666/,4.93,389,0,340294,690.0,[],12,2023
Технология. 3D-моделирование и прототипирование. 8 класс,Д. Г. Копосов,https://www.litres.ru/book/d-g-koposov/tehnologiya-3d-modelirovanie-i-prototipirovanie-8-klass-68297141/,5.0,2,0,16,500.0,[],0,2022
"Как пасти котов. Наставление для программистов, руководящих другими программистами",Дж. Ханк Рейнвотер,https://www.litres.ru/book/dzh-hank-reynvoter/kak-pasti-kotov-nastavlenie-dlya-programmistov-rukovody-167876/,3.35,63,0,640618,599.0,[],12,2002
"Чистый код: создание, анализ и рефакторинг (pdf+epub)",Роберт Мартин,https://www.litres.ru/book/robert-s-martin/chistyy-kod-sozdanie-analiz-i-refaktoring-pdf-epub-70729888/,4.0,3,0,464,599.0,[],16,
Qt 6. Разработка оконных приложений на C++,Николай Прохоренок,https://www.litres.ru/book/n-prohorenok/qt-6-razrabotka-okonnyh-prilozheniy-na-c-68995504/,4.33,3,0,513,549.0,[],0,2022
Программирование на Kotlin для Android,Дж. Блэйк Мик,https://www.litres.ru/book/bleyk-mik/programmirovanie-na-kotlin-dlya-android-70920856/,0.0,0,0,335,549.0,[],0,2022
Kotlin в действии,Дмитрий Жемеров,https://www.litres.ru/book/dmitriy-zhemerov/kotlin-v-deystvii-27069061/,4.37,59,0,404,849.0,[],0,2017
Обработка естественного языка в действии,Лейн Хобсон,https://www.litres.ru/book/leyn-hobson-27650502/obrabotka-estestvennogo-yazyka-v-deystvii-64064936/,5.0,3,0,576,609.0,[],16,2020
Как тестируют в Google,Джефф Каролло,https://www.litres.ru/book/d-uittaker/kak-testiruut-v-google-6701651/,3.75,52,0,634761,399.0,[],12,2012
